{(company, "Google"); (value, 0.08); (drop, 0.01); (variation, 0.44); (date, 10.08.2014)} { Emission time: 1719509372222} | { Receive time: 1719509372235 } | { Transmission time: 13 milliseconds }
{(company, "Amazon"); (value, 0.79); (drop, 0.53); (variation, 0.55); (date, 08.07.2001)} { Emission time: 1719509596070} | { Receive time: 1719509596089 } | { Transmission time: 19 milliseconds }
{(company, "Microsoft"); (value, 0.82); (drop, 0.74); (variation, 0.48); (date, 10.02.2019)} { Emission time: 1719509597071} | { Receive time: 1719509597083 } | { Transmission time: 12 milliseconds }
{(company, "Amazon"); (value, 0.01); (drop, 0.8); (variation, 0.36); (date, 23.02.2012)} { Emission time: 1719509598072} | { Receive time: 1719509598084 } | { Transmission time: 12 milliseconds }
{(company, "Amazon"); (value, 0.28); (drop, 0.53); (variation, 0.09); (date, 07.01.2013)} { Emission time: 1719509600074} | { Receive time: 1719509600083 } | { Transmission time: 9 milliseconds }
{(company, "Amazon"); (value, 0.17); (drop, 0.29); (variation, 0.29); (date, 20.10.2006)} { Emission time: 1719512319627} | { Receive time: 1719512319691 } | { Transmission time: 64 milliseconds }
{(company, "Apple"); (value, 0.25); (drop, 0.87); (variation, 0.02); (date, 13.12.2011)} { Emission time: 1719512321659} | { Receive time: 1719512321667 } | { Transmission time: 8 milliseconds }
{(company, "Microsoft"); (value, 0.48); (drop, 0.53); (variation, 0.86); (date, 21.10.2014)} { Emission time: 1719512323660} | { Receive time: 1719512323669 } | { Transmission time: 9 milliseconds }
{(company, "Microsoft"); (value, 0.07); (drop, 0.2); (variation, 0.04); (date, 12.04.2019)} { Emission time: 1719512689991} | { Receive time: 1719512690006 } | { Transmission time: 15 milliseconds }
{(company, "Apple"); (value, 0.18); (drop, 0.71); (variation, 0.38); (date, 23.05.2017)} { Emission time: 1719512690992} | { Receive time: 1719512691018 } | { Transmission time: 26 milliseconds }
{(company, "Apple"); (value, 0.01); (drop, 0.96); (variation, 0.31); (date, 06.02.2005)} { Emission time: 1719512691994} | { Receive time: 1719512692008 } | { Transmission time: 14 milliseconds }
{(company, "Amazon"); (value, 0.01); (drop, 0.7); (variation, 0.28); (date, 03.04.2008)} { Emission time: 1719512747611} | { Receive time: 1719512747625 } | { Transmission time: 14 milliseconds }
{(company, "Apple"); (value, 0.43); (drop, 0.15); (variation, 0.46); (date, 04.02.2008)} { Emission time: 1719512748613} | { Receive time: 1719512748631 } | { Transmission time: 18 milliseconds }
{(company, "Amazon"); (value, 0.35); (drop, 0.27); (variation, 0.41); (date, 22.06.2014)} { Emission time: 1719512749620} | { Receive time: 1719512749633 } | { Transmission time: 13 milliseconds }
{(company, "Amazon"); (value, 0.35); (drop, 0.92); (variation, 0.12); (date, 20.09.2020)} { Emission time: 1719512751621} | { Receive time: 1719512751632 } | { Transmission time: 11 milliseconds }
{(company, "Amazon"); (value, 0.01); (drop, 0.7); (variation, 0.28); (date, 03.04.2008)} { Emission time: 1719512762813} | { Receive time: 1719512762823 } | { Transmission time: 10 milliseconds }
{(company, "Apple"); (value, 0.43); (drop, 0.15); (variation, 0.46); (date, 04.02.2008)} { Emission time: 1719512763814} | { Receive time: 1719512763840 } | { Transmission time: 26 milliseconds }
{(company, "Amazon"); (value, 0.35); (drop, 0.27); (variation, 0.41); (date, 22.06.2014)} { Emission time: 1719512764814} | { Receive time: 1719512764874 } | { Transmission time: 60 milliseconds }
{(company, "Amazon"); (value, 0.35); (drop, 0.92); (variation, 0.12); (date, 20.09.2020)} { Emission time: 1719512766816} | { Receive time: 1719512766833 } | { Transmission time: 17 milliseconds }
{(company, "Amazon"); (value, 0.47); (drop, 0.71); (variation, 0.42); (date, 18.09.2000)} { Emission time: 1719512940737} | { Receive time: 1719512940750 } | { Transmission time: 13 milliseconds }
{(company, "Apple"); (value, 0.98); (drop, 0.56); (variation, 0.09); (date, 13.02.2013)} { Emission time: 1719512941737} | { Receive time: 1719512941752 } | { Transmission time: 15 milliseconds }
{(company, "Google"); (value, 0.81); (drop, 0.86); (variation, 0.36); (date, 19.05.2000)} { Emission time: 1719512942738} | { Receive time: 1719512942752 } | { Transmission time: 14 milliseconds }
{(company, "Amazon"); (value, 0.99); (drop, 0.52); (variation, 0.77); (date, 09.02.2000)} { Emission time: 1719512943739} | { Receive time: 1719512943747 } | { Transmission time: 8 milliseconds }
{(company, "Amazon"); (value, 0.34); (drop, 0.66); (variation, 0.51); (date, 18.08.2022)} { Emission time: 1719512998973} | { Receive time: 1719512998985 } | { Transmission time: 12 milliseconds }
{(company, "Apple"); (value, 0.95); (drop, 0.67); (variation, 0.96); (date, 20.12.2005)} { Emission time: 1719512999974} | { Receive time: 1719512999993 } | { Transmission time: 19 milliseconds }
{(company, "Apple"); (value, 0.51); (drop, 0.64); (variation, 0.85); (date, 04.04.2012)} { Emission time: 1719513001976} | { Receive time: 1719513001991 } | { Transmission time: 15 milliseconds }
{(company, "Amazon"); (value, 0.34); (drop, 0.66); (variation, 0.51); (date, 18.08.2022)} { Emission time: 1719513013782} | { Receive time: 1719513013792 } | { Transmission time: 10 milliseconds }
{(company, "Apple"); (value, 0.95); (drop, 0.67); (variation, 0.96); (date, 20.12.2005)} { Emission time: 1719513014783} | { Receive time: 1719513014792 } | { Transmission time: 9 milliseconds }
{(company, "Apple"); (value, 0.51); (drop, 0.64); (variation, 0.85); (date, 04.04.2012)} { Emission time: 1719513016784} | { Receive time: 1719513016793 } | { Transmission time: 9 milliseconds }
{(company, "Amazon"); (value, 0.58); (drop, 0.55); (variation, 0.03); (date, 03.10.2022)} { Emission time: 1719513571155} | { Receive time: 1719513571182 } | { Transmission time: 27 milliseconds }
{(company, "Apple"); (value, 0.81); (drop, 0.27); (variation, 0.22); (date, 31.08.2006)} { Emission time: 1719513573157} | { Receive time: 1719513573166 } | { Transmission time: 9 milliseconds }
{(company, "Amazon"); (value, 0.58); (drop, 0.55); (variation, 0.03); (date, 03.10.2022)} { Emission time: 1719513585880} | { Receive time: 1719513585886 } | { Transmission time: 6 milliseconds }
{(company, "Apple"); (value, 0.81); (drop, 0.27); (variation, 0.22); (date, 31.08.2006)} { Emission time: 1719513587888} | { Receive time: 1719513587920 } | { Transmission time: 32 milliseconds }
{(company, "Apple"); (value, 0.62); (drop, 0.35); (variation, 0.49); (date, 30.01.2013)} { Emission time: 1719513591900} | { Receive time: 1719513591919 } | { Transmission time: 19 milliseconds }
{(company, "Google"); (value, 0.77); (drop, 0.21); (variation, 0.01); (date, 14.11.2002)} { Emission time: 1719513595908} | { Receive time: 1719513595962 } | { Transmission time: 54 milliseconds }
{(company, "Apple"); (value, 0.01); (drop, 0.36); (variation, 0.91); (date, 22.06.2016)} { Emission time: 1719513597912} | { Receive time: 1719513597919 } | { Transmission time: 7 milliseconds }
{(company, "Apple"); (value, 0.1); (drop, 0.86); (variation, 0.97); (date, 12.02.2007)} { Emission time: 1719513598912} | { Receive time: 1719513598921 } | { Transmission time: 9 milliseconds }
{(company, "Amazon"); (value, 0.72); (drop, 0.63); (variation, 0.35); (date, 28.03.2021)} { Emission time: 1719513601916} | { Receive time: 1719513601925 } | { Transmission time: 9 milliseconds }
{(company, "Apple"); (value, 0.09); (drop, 0.55); (variation, 0.35); (date, 18.11.2020)} { Emission time: 1719513602918} | { Receive time: 1719513602930 } | { Transmission time: 12 milliseconds }
{(company, "Microsoft"); (value, 0.82); (drop, 0.58); (variation, 0.15); (date, 21.09.2005)} { Emission time: 1719513635649} | { Receive time: 1719513635656 } | { Transmission time: 7 milliseconds }
{(company, "Microsoft"); (value, 0.82); (drop, 0.58); (variation, 0.15); (date, 21.09.2005)} { Emission time: 1719513650356} | { Receive time: 1719513650369 } | { Transmission time: 13 milliseconds }
{(company, "Apple"); (value, 0.53); (drop, 0.23); (variation, 0.26); (date, 18.07.2003)} { Emission time: 1719513651357} | { Receive time: 1719513651368 } | { Transmission time: 11 milliseconds }
{(company, "Google"); (value, 0.29); (drop, 0.14); (variation, 0.87); (date, 03.04.2013)} { Emission time: 1719513655361} | { Receive time: 1719513655368 } | { Transmission time: 7 milliseconds }
{(company, "Apple"); (value, 0.06); (drop, 0.9); (variation, 0.26); (date, 25.07.2011)} { Emission time: 1719513659366} | { Receive time: 1719513659378 } | { Transmission time: 12 milliseconds }
{(company, "Google"); (value, 0.21); (drop, 0.12); (variation, 0.68); (date, 04.08.2017)} { Emission time: 1719513660367} | { Receive time: 1719513660377 } | { Transmission time: 10 milliseconds }
{(company, "Microsoft"); (value, 0.31); (drop, 0.32); (variation, 0.04); (date, 16.01.2007)} { Emission time: 1719513948019} | { Receive time: 1719513948034 } | { Transmission time: 15 milliseconds }
