{(company, Google); (date, 2021-07-03); (variation, 0.96); (drop, 0.13); (value, 0.02)}
{(company, Google); (date, 2004-06-27); (variation, 0.65); (drop, 0.8); (value, 0.61)}
{(company, Google); (date, 2006-07-06); (variation, 0.4); (drop, 0.62); (value, 0.04)}
{(company, Apple); (date, 2012-05-16); (variation, 0.54); (drop, 0.68); (value, 0.83)}
{(company, Amazon); (date, 2000-05-29); (variation, 1.0); (drop, 0.39); (value, 0.11)}
{(company, Amazon); (date, 2016-12-10); (variation, 0.22); (drop, 0.29); (value, 0.5)}
{(company, Apple); (date, 2020-04-25); (variation, 0.58); (drop, 0.59); (value, 0.75)}
{(company, Amazon); (date, 2007-07-19); (variation, 0.85); (drop, 0.51); (value, 0.02)}
{(company, Apple); (date, 2018-10-04); (variation, 0.83); (drop, 0.7); (value, 0.85)}
{(company, Google); (date, 2002-09-05); (variation, 0.63); (drop, 0.88); (value, 0.71)}
{(company, Google); (date, 2007-02-08); (variation, 0.39); (drop, 0.94); (value, 0.88)}
{(company, Microsoft); (date, 2009-01-30); (variation, 0.7); (drop, 0.28); (value, 0.64)}
{(company, Amazon); (date, 2010-07-21); (variation, 0.54); (drop, 0.26); (value, 0.28)}
{(company, Apple); (date, 2002-09-12); (variation, 0.11); (drop, 0.03); (value, 0.31)}
{(company, Apple); (date, 2012-07-09); (variation, 0.29); (drop, 0.31); (value, 0.4)}
{(company, Google); (date, 2020-06-22); (variation, 0.52); (drop, 0.46); (value, 0.09)}
{(company, Amazon); (date, 2001-01-08); (variation, 0.36); (drop, 0.27); (value, 0.77)}
{(company, Apple); (date, 2011-04-06); (variation, 0.9); (drop, 0.34); (value, 0.68)}
{(company, Google); (date, 2002-03-07); (variation, 0.41); (drop, 0.88); (value, 0.11)}
{(company, Microsoft); (date, 2018-08-16); (variation, 0.7); (drop, 0.39); (value, 0.43)}
{(company, Microsoft); (date, 2008-06-28); (variation, 0.89); (drop, 0.0); (value, 0.24)}
{(company, Apple); (date, 2010-06-06); (variation, 0.45); (drop, 0.46); (value, 0.71)}
{(company, Apple); (date, 2000-11-28); (variation, 0.15); (drop, 0.67); (value, 0.93)}
{(company, Apple); (date, 2014-09-08); (variation, 0.46); (drop, 0.58); (value, 0.12)}
{(company, Microsoft); (date, 2013-01-17); (variation, 0.67); (drop, 0.03); (value, 0.21)}
{(company, Microsoft); (date, 2011-04-05); (variation, 0.2); (drop, 0.52); (value, 0.55)}
{(company, Google); (date, 2001-09-05); (variation, 0.76); (drop, 0.66); (value, 0.57)}
{(company, Apple); (date, 2005-03-24); (variation, 0.74); (drop, 0.85); (value, 0.65)}
{(company, Google); (date, 2014-07-01); (variation, 0.32); (drop, 0.67); (value, 0.09)}
{(company, Amazon); (date, 2012-01-17); (variation, 0.46); (drop, 0.92); (value, 0.84)}
{(company, Microsoft); (date, 2006-01-31); (variation, 0.85); (drop, 0.87); (value, 0.64)}
{(company, Microsoft); (date, 2011-07-26); (variation, 0.68); (drop, 0.68); (value, 0.43)}
{(company, Apple); (date, 2003-05-29); (variation, 1.0); (drop, 0.43); (value, 0.41)}
{(company, Amazon); (date, 2014-09-25); (variation, 0.07); (drop, 0.58); (value, 0.72)}
{(company, Microsoft); (date, 2013-04-04); (variation, 0.83); (drop, 0.43); (value, 0.49)}
{(company, Microsoft); (date, 2002-07-18); (variation, 0.85); (drop, 0.9); (value, 0.94)}
{(company, Google); (date, 2014-01-22); (variation, 0.13); (drop, 0.25); (value, 0.85)}
{(company, Microsoft); (date, 2002-10-06); (variation, 0.5); (drop, 0.95); (value, 0.06)}
{(company, Apple); (date, 2017-04-19); (variation, 0.39); (drop, 0.73); (value, 0.01)}
{(company, Microsoft); (date, 2006-11-14); (variation, 0.72); (drop, 0.56); (value, 0.67)}
{(company, Google); (date, 2022-05-14); (variation, 0.98); (drop, 0.71); (value, 0.62)}
{(company, Amazon); (date, 2017-06-06); (variation, 0.09); (drop, 0.16); (value, 0.92)}
{(company, Google); (date, 2013-08-31); (variation, 0.47); (drop, 0.19); (value, 0.65)}
{(company, Amazon); (date, 2014-07-07); (variation, 1.0); (drop, 0.87); (value, 0.71)}
{(company, Apple); (date, 2005-09-22); (variation, 0.44); (drop, 0.62); (value, 0.09)}
{(company, Microsoft); (date, 2012-06-12); (variation, 0.45); (drop, 0.31); (value, 0.87)}
{(company, Google); (date, 2002-05-30); (variation, 0.75); (drop, 0.33); (value, 0.99)}
{(company, Apple); (date, 2014-02-09); (variation, 0.51); (drop, 0.15); (value, 0.84)}
{(company, Apple); (date, 2006-01-06); (variation, 0.37); (drop, 0.84); (value, 0.41)}
{(company, Microsoft); (date, 2002-11-05); (variation, 0.89); (drop, 0.59); (value, 0.23)}
